category,name,symbol,source,currency,note
海外指数,S&P500,^GSPC,yahoo,USD,
海外指数,ラッセル2000,^RUT,yahoo,USD,
海外指数,ドイツDAX,^GDAXI,yahoo,EUR,
海外指数,英国FTSE100,^FTSE,yahoo,GBP,
海外指数,仏CAC40,^FCHI,yahoo,EUR,
海外指数,ユーロ・ストックス50,^STOXX50E,yahoo,EUR,
海外指数,イタリア40,FTSEMIB.MI,yahoo,EUR,
海外指数,イスタンブール100,XU100.IS,yahoo,TRY,
海外指数,深セン成分指数,399001.SZ,yahoo,CNY,深セン総合は399106.SZ
海外指数,香港ハンセン,^HSI,yahoo,HKD,
海外指数,タイSET,^SET.BK,yahoo,THB,
海外指数,インドSENSEX30,^BSESN,yahoo,INR,
海外指数,韓国総合株価指数,^KS11,yahoo,KRW,
海外指数,台湾加権,^TWII,yahoo,TWD,
海外指数,SOX,^SOX,yahoo,USD,フィラデルフィア半導体指数
海外指数,ロシアRTS,RTSI,moex,USD,MOEX ISS API。履歴遡及可
REIT,米国REIT 総合,^REI,yahoo,USD,Dow Jones Equity All REIT。履歴なし。配信は当日値1本のみで遡れない
REIT,米国REIT オフィス・物流,^DJUSIO,yahoo,USD,DJ US Industrial & Office REITs。履歴なし。配信は当日値1本のみで遡れない
REIT,米国REIT 商業,^DJUSRL,yahoo,USD,DJ US Retail REITs。履歴なし。配信は当日値1本のみで遡れない
REIT,米国REIT 住宅,^DJUSRN,yahoo,USD,DJ US Residential REITs。履歴なし。配信は当日値1本のみで遡れない
REIT,米国REIT ホテル,^DJUSHL,yahoo,USD,DJ US Hotel & Lodging REITs。履歴なし。配信は当日値1本のみで遡れない
商品,金,GC=F,yahoo,USD,COMEX先物。限月交代で不連続
商品,工業用金属指数,^SPGSIN,yahoo,USD,S&P GSCI Industrial Metals。履歴なし。配信は当日値1本のみで遡れない
ETF,アークETF,ARKK,yahoo,USD,
為替,米ドル/円,USDJPY=X,yahoo,JPY,
為替,ユーロ/円,EURJPY=X,yahoo,JPY,
為替,英ポンド/円,GBPJPY=X,yahoo,JPY,
為替,豪ドル/円,AUDJPY=X,yahoo,JPY,
為替,中国元/円,CNYJPY=X,yahoo,JPY,
為替,スイスフラン/円,CHFJPY=X,yahoo,JPY,
為替,韓国ウォン/円,KRWJPY=X,yahoo,JPY,
為替,台湾ドル/円,TWDJPY=X,yahoo,JPY,
為替,香港ドル/円,HKDJPY=X,yahoo,JPY,
為替,インドルピー/円,INRJPY=X,yahoo,JPY,
為替,トルコリラ/円,TRYJPY=X,yahoo,JPY,
為替,ブラジルレアル/円,BRLJPY=X,yahoo,JPY,
為替,メキシコペソ/円,MXNJPY=X,yahoo,JPY,
為替,南アフリカランド/円,ZARJPY=X,yahoo,JPY,
個別株,アップル,AAPL,yahoo,USD,
個別株,マイクロソフト,MSFT,yahoo,USD,
個別株,アルファベット,GOOGL,yahoo,USD,
個別株,アマゾン,AMZN,yahoo,USD,
個別株,メタ,META,yahoo,USD,
個別株,エヌビディア,NVDA,yahoo,USD,
個別株,テスラ,TSLA,yahoo,USD,
個別株,パランティア,PLTR,yahoo,USD,
個別株,マイクロン,MU,yahoo,USD,
個別株,オラクル,ORCL,yahoo,USD,
個別株,AMD,AMD,yahoo,USD,
個別株,インテル,INTC,yahoo,USD,
個別株,アーム,ARM,yahoo,USD,
個別株,ブロードコム,AVGO,yahoo,USD,
個別株,クアルコム,QCOM,yahoo,USD,
個別株,サンディスク,SNDK,yahoo,USD,旧親会社WDCとは別銘柄
個別株,バークシャー・ハサウェイ,BRK-B,yahoo,USD,B株
個別株,JPモルガン,JPM,yahoo,USD,
個別株,ゴールドマン・サックス,GS,yahoo,USD,
個別株,ウォルマート,WMT,yahoo,USD,
個別株,マクドナルド,MCD,yahoo,USD,
個別株,サムスン電子,005930.KS,yahoo,KRW,
個別株,SKハイニクス,000660.KS,yahoo,KRW,
個別株,NAURA,002371.SZ,yahoo,CNY,北方華創
個別株,CXMT,688825.SS,yahoo,CNY,長鑫存儲技術。ChangXin Memory Technologies。2026-07-27 科創板上場
個別株,SMIC,0981.HK,yahoo,HKD,A株は688981.SS
個別株,シャオミ,1810.HK,yahoo,HKD,
個別株,テンセント,0700.HK,yahoo,HKD,現地上場を採用。ADRはTCEHY
個別株,BYD,1211.HK,yahoo,HKD,A株は002594.SZ
個別株,アリババ,9988.HK,yahoo,HKD,現地上場を採用。ADRはBABA
個別株,TSMC,2330.TW,yahoo,TWD,現地上場を採用。ADRはTSM
個別株,SAP,SAP.DE,yahoo,EUR,現地上場を採用。ADRはSAP
個別株,フォルクスワーゲン,VOW3.DE,yahoo,EUR,優先株。普通株はVOW.DE
個別株,BASF,BAS.DE,yahoo,EUR,
個別株,HSBC,HSBA.L,yahoo,GBp,現地上場を採用。ADRはHSBC。ペンス建て（ポンドではない）
個別株,BNPパリバ,BNP.PA,yahoo,EUR,
個別株,LVMH,MC.PA,yahoo,EUR,現地上場を採用。ADRはLVMUY
個別株,ASML,ASML.AS,yahoo,EUR,現地上場を採用。米国上場のASMLはADRではなくNY登録株
暗号資産,ビットコイン,BTC-USD,yahoo,USD,24時間市場。UTC日付の前日分が確定足として入る
暗号資産,イーサリアム,ETH-USD,yahoo,USD,24時間市場。UTC日付の前日分が確定足として入る
暗号資産,リップル,XRP-USD,yahoo,USD,24時間市場。UTC日付の前日分が確定足として入る
日本株,キオクシア,285A.T,yahoo,JPY,
日本株,ディスコ,6146.T,yahoo,JPY,
日本株,アドバンテスト,6857.T,yahoo,JPY,
日本株,信越化学工業,4063.T,yahoo,JPY,
日本株,東京エレクトロン,8035.T,yahoo,JPY,
日本株,ソフトバンクグループ,9984.T,yahoo,JPY,
日本株,ファーストリテイリング,9983.T,yahoo,JPY,
日本株,リクルートHD,6098.T,yahoo,JPY,
日本株,日本郵船,9101.T,yahoo,JPY,
日本株,かんぽ生命保険,7181.T,yahoo,JPY,
日本株,東京海上HD,8766.T,yahoo,JPY,
日本株,NTT,9432.T,yahoo,JPY,日本電信電話
日本株,JT,2914.T,yahoo,JPY,日本たばこ産業
